County,Year,Indicator,Value,Regional Economic Blocs,Event
Trans-Nzoia,2019,Tonnes,426499,North Rift Economic Bloc (NOREB),Drought Year
Bungoma,2019,Tonnes,315710.75,Lake Region Economic Bloc (LREB),Drought Year
Baringo,2012,Area (HA),39753,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Baringo,2012,Production (MT),71866.62,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Baringo,2012,Yield(MT/HA),1.807828843,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Baringo,2013,Area (HA),29117,North Rift Economic Bloc (NOREB),Post Election Political Tension
Baringo,2013,Production (MT),55805.04,North Rift Economic Bloc (NOREB),Post Election Political Tension
Baringo,2013,Yield(MT/HA),1.916579318,North Rift Economic Bloc (NOREB),Post Election Political Tension
Baringo,2014,Area (HA),34960,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Baringo,2014,Production (MT),34959,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Baringo,2014,Yield(MT/HA),0.999971396,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Baringo,2015,Area (HA),44159,North Rift Economic Bloc (NOREB),No Significant Events
Baringo,2015,Production (MT),83313,North Rift Economic Bloc (NOREB),No Significant Events
Baringo,2015,Yield(MT/HA),1.886659571,North Rift Economic Bloc (NOREB),No Significant Events
Baringo,2016,Area (HA),33163,North Rift Economic Bloc (NOREB),Drought Year
Baringo,2016,Production (MT),72495,North Rift Economic Bloc (NOREB),Drought Year
Baringo,2016,Yield(MT/HA),2.186020565,North Rift Economic Bloc (NOREB),Drought Year
Baringo,2017,Area (HA),33308,North Rift Economic Bloc (NOREB),Post Election Political Tension
Baringo,2017,Production (MT),45764,North Rift Economic Bloc (NOREB),Post Election Political Tension
Baringo,2017,Yield(MT/HA),1.373964213,North Rift Economic Bloc (NOREB),Post Election Political Tension
Baringo,2018,Area (HA),37658,North Rift Economic Bloc (NOREB),No Significant Events
Baringo,2018,Production (MT),58475.6,North Rift Economic Bloc (NOREB),No Significant Events
Baringo,2018,Yield(MT/HA),1.552806841,North Rift Economic Bloc (NOREB),No Significant Events
Baringo,2020,Area (HA),47437,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Baringo,2020,Production (MT),68374.39,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Baringo,2020,Yield(MT/HA),1.441372557,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Bomet,2012,Area (HA),32697,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bomet,2012,Production (MT),73277.82,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bomet,2012,Yield(MT/HA),2.241117534,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bomet,2013,Area (HA),30620,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bomet,2013,Production (MT),72235.8,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bomet,2013,Yield(MT/HA),2.35910516,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bomet,2014,Area (HA),30940,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bomet,2014,Production (MT),53162,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bomet,2014,Yield(MT/HA),1.71822883,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bomet,2015,Area (HA),35727,Lake Region Economic Bloc (LREB),No Significant Events
Bomet,2015,Production (MT),38720,Lake Region Economic Bloc (LREB),No Significant Events
Bomet,2015,Yield(MT/HA),1.083774176,Lake Region Economic Bloc (LREB),No Significant Events
Bomet,2016,Area (HA),32275,Lake Region Economic Bloc (LREB),Drought Year
Bomet,2016,Production (MT),45517,Lake Region Economic Bloc (LREB),Drought Year
Bomet,2016,Yield(MT/HA),1.4102866,Lake Region Economic Bloc (LREB),Drought Year
Bomet,2017,Area (HA),33792,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bomet,2017,Production (MT),56601,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bomet,2017,Yield(MT/HA),1.674982244,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bomet,2018,Area (HA),33291,Lake Region Economic Bloc (LREB),No Significant Events
Bomet,2018,Production (MT),58336.81,Lake Region Economic Bloc (LREB),No Significant Events
Bomet,2018,Yield(MT/HA),1.752329759,Lake Region Economic Bloc (LREB),No Significant Events
Bomet,2020,Area (HA),38163,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Bomet,2020,Production (MT),73609.65,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Bomet,2020,Yield(MT/HA),1.92882242,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Bungoma,2012,Area (HA),96209,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bungoma,2012,Production (MT),262381.05,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bungoma,2012,Yield(MT/HA),2.727198599,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bungoma,2013,Area (HA),92705,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bungoma,2013,Production (MT),221586.03,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bungoma,2013,Yield(MT/HA),2.390227388,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bungoma,2014,Area (HA),98074,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bungoma,2014,Production (MT),267302,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bungoma,2014,Yield(MT/HA),2.725513388,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Bungoma,2015,Area (HA),97397,Lake Region Economic Bloc (LREB),No Significant Events
Bungoma,2015,Production (MT),260266,Lake Region Economic Bloc (LREB),No Significant Events
Bungoma,2015,Yield(MT/HA),2.67221783,Lake Region Economic Bloc (LREB),No Significant Events
Bungoma,2016,Area (HA),100712,Lake Region Economic Bloc (LREB),Drought Year
Bungoma,2016,Yield(MT/HA),2.989395504,Lake Region Economic Bloc (LREB),Drought Year
Bungoma,2017,Area (HA),95323,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bungoma,2017,Production (MT),289290,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bungoma,2017,Yield(MT/HA),3.034839441,Lake Region Economic Bloc (LREB),Post Election Political Tension
Bungoma,2018,Area (HA),93484,Lake Region Economic Bloc (LREB),No Significant Events
Bungoma,2018,Production (MT),295481.1,Lake Region Economic Bloc (LREB),No Significant Events
Bungoma,2018,Yield(MT/HA),3.160766548,Lake Region Economic Bloc (LREB),No Significant Events
Bungoma,2020,Area (HA),87960,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Bungoma,2020,Yield(MT/HA),3.61428297,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Busia,2012,Area (HA),41990,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Busia,2012,Production (MT),50102.37,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Busia,2012,Yield(MT/HA),1.193197666,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Busia,2013,Area (HA),45898,Lake Region Economic Bloc (LREB),Post Election Political Tension
Busia,2013,Production (MT),63229.5,Lake Region Economic Bloc (LREB),Post Election Political Tension
Busia,2013,Yield(MT/HA),1.377609046,Lake Region Economic Bloc (LREB),Post Election Political Tension
Busia,2014,Area (HA),50400,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Busia,2014,Production (MT),72662,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Busia,2014,Yield(MT/HA),1.441706349,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Busia,2015,Area (HA),50781,Lake Region Economic Bloc (LREB),No Significant Events
Busia,2015,Production (MT),86526,Lake Region Economic Bloc (LREB),No Significant Events
Busia,2015,Yield(MT/HA),1.703905004,Lake Region Economic Bloc (LREB),No Significant Events
Busia,2016,Area (HA),38441,Lake Region Economic Bloc (LREB),Drought Year
Busia,2016,Production (MT),36631,Lake Region Economic Bloc (LREB),Drought Year
Busia,2016,Yield(MT/HA),0.952914857,Lake Region Economic Bloc (LREB),Drought Year
Busia,2017,Area (HA),31962,Lake Region Economic Bloc (LREB),Post Election Political Tension
Busia,2017,Production (MT),51483,Lake Region Economic Bloc (LREB),Post Election Political Tension
Busia,2017,Yield(MT/HA),1.610756523,Lake Region Economic Bloc (LREB),Post Election Political Tension
Busia,2018,Area (HA),33122,Lake Region Economic Bloc (LREB),No Significant Events
Busia,2018,Production (MT),53629,Lake Region Economic Bloc (LREB),No Significant Events
Busia,2018,Yield(MT/HA),1.619135318,Lake Region Economic Bloc (LREB),No Significant Events
Busia,2020,Area (HA),48150,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Busia,2020,Production (MT),69449.5,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Busia,2020,Yield(MT/HA),1.442357217,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Elgeyo/Marakwet,2012,Area (HA),31533,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Elgeyo/Marakwet,2012,Production (MT),91964.43,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Elgeyo/Marakwet,2012,Yield(MT/HA),2.916450385,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Elgeyo/Marakwet,2013,Area (HA),32015,North Rift Economic Bloc (NOREB),Post Election Political Tension
Elgeyo/Marakwet,2013,Production (MT),101335.77,North Rift Economic Bloc (NOREB),Post Election Political Tension
Elgeyo/Marakwet,2013,Yield(MT/HA),3.165259097,North Rift Economic Bloc (NOREB),Post Election Political Tension
Elgeyo/Marakwet,2014,Area (HA),27620,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Elgeyo/Marakwet,2014,Production (MT),103448,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Elgeyo/Marakwet,2014,Yield(MT/HA),3.745401883,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Elgeyo/Marakwet,2015,Area (HA),33598,North Rift Economic Bloc (NOREB),No Significant Events
Elgeyo/Marakwet,2015,Production (MT),78020,North Rift Economic Bloc (NOREB),No Significant Events
Elgeyo/Marakwet,2015,Yield(MT/HA),2.322162033,North Rift Economic Bloc (NOREB),No Significant Events
Elgeyo/Marakwet,2016,Area (HA),33315,North Rift Economic Bloc (NOREB),Drought Year
Elgeyo/Marakwet,2016,Production (MT),75005,North Rift Economic Bloc (NOREB),Drought Year
Elgeyo/Marakwet,2016,Yield(MT/HA),2.251388264,North Rift Economic Bloc (NOREB),Drought Year
Elgeyo/Marakwet,2017,Area (HA),28373,North Rift Economic Bloc (NOREB),Post Election Political Tension
Elgeyo/Marakwet,2017,Production (MT),80823,North Rift Economic Bloc (NOREB),Post Election Political Tension
Elgeyo/Marakwet,2017,Yield(MT/HA),2.848588447,North Rift Economic Bloc (NOREB),Post Election Political Tension
Elgeyo/Marakwet,2018,Area (HA),30631,North Rift Economic Bloc (NOREB),No Significant Events
Elgeyo/Marakwet,2018,Production (MT),92601.412,North Rift Economic Bloc (NOREB),No Significant Events
Elgeyo/Marakwet,2018,Yield(MT/HA),3.023127289,North Rift Economic Bloc (NOREB),No Significant Events
Elgeyo/Marakwet,2020,Area (HA),25856,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Elgeyo/Marakwet,2020,Production (MT),87431.25,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Elgeyo/Marakwet,2020,Yield(MT/HA),3.381468518,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Embu,2012,Area (HA),45215,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Embu,2012,Production (MT),46749.78,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Embu,2012,Yield(MT/HA),1.033944045,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Embu,2013,Area (HA),26820,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Embu,2013,Production (MT),35104.86,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Embu,2013,Yield(MT/HA),1.30890604,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Embu,2014,Area (HA),26720,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Embu,2014,Production (MT),26611,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Embu,2014,Yield(MT/HA),0.995920659,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Embu,2015,Area (HA),38699,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Embu,2015,Production (MT),49156,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Embu,2015,Yield(MT/HA),1.270213701,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Embu,2016,Area (HA),24686,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Embu,2016,Production (MT),16104,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Embu,2016,Yield(MT/HA),0.652353561,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Embu,2017,Area (HA),45533,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Embu,2017,Production (MT),28378,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Embu,2017,Yield(MT/HA),0.623240287,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Embu,2018,Area (HA),35812,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Embu,2018,Production (MT),32113.19,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Embu,2018,Yield(MT/HA),0.896715905,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Embu,2020,Area (HA),35130,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Embu,2020,Production (MT),34650.38,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Embu,2020,Yield(MT/HA),0.986347282,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Garissa,2012,Area (HA),433,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Garissa,2012,Production (MT),410.58,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Garissa,2012,Yield(MT/HA),0.948221709,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Garissa,2013,Area (HA),205,Frontier Counties Development Council (FCDC),Post Election Political Tension
Garissa,2013,Production (MT),198.72,Frontier Counties Development Council (FCDC),Post Election Political Tension
Garissa,2013,Yield(MT/HA),0.969365854,Frontier Counties Development Council (FCDC),Post Election Political Tension
Garissa,2014,Area (HA),245,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Garissa,2014,Production (MT),199,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Garissa,2014,Yield(MT/HA),0.812244898,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Garissa,2015,Area (HA),248,Frontier Counties Development Council (FCDC),No Significant Events
Garissa,2015,Production (MT),216,Frontier Counties Development Council (FCDC),No Significant Events
Garissa,2015,Yield(MT/HA),0.870967742,Frontier Counties Development Council (FCDC),No Significant Events
Garissa,2016,Area (HA),167,Frontier Counties Development Council (FCDC),Drought Year
Garissa,2016,Production (MT),152,Frontier Counties Development Council (FCDC),Drought Year
Garissa,2016,Yield(MT/HA),0.910179641,Frontier Counties Development Council (FCDC),Drought Year
Garissa,2017,Area (HA),150,Frontier Counties Development Council (FCDC),Post Election Political Tension
Garissa,2017,Production (MT),142,Frontier Counties Development Council (FCDC),Post Election Political Tension
Garissa,2017,Yield(MT/HA),0.946666667,Frontier Counties Development Council (FCDC),Post Election Political Tension
Garissa,2018,Area (HA),138,Frontier Counties Development Council (FCDC),No Significant Events
Garissa,2018,Production (MT),119,Frontier Counties Development Council (FCDC),No Significant Events
Garissa,2018,Yield(MT/HA),0.862318841,Frontier Counties Development Council (FCDC),No Significant Events
Garissa,2020,Area (HA),238,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Garissa,2020,Production (MT),144.65,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Garissa,2020,Yield(MT/HA),0.607773109,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Homabay,2012,Area (HA),67420,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Homabay,2012,Production (MT),97512.75,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Homabay,2012,Yield(MT/HA),1.446347523,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Homabay,2013,Area (HA),74359,Lake Region Economic Bloc (LREB),Post Election Political Tension
Homabay,2013,Production (MT),110379.69,Lake Region Economic Bloc (LREB),Post Election Political Tension
Homabay,2013,Yield(MT/HA),1.484416009,Lake Region Economic Bloc (LREB),Post Election Political Tension
Homabay,2014,Area (HA),79667,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Homabay,2014,Production (MT),124465,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Homabay,2014,Yield(MT/HA),1.562315639,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Homabay,2015,Area (HA),83900,Lake Region Economic Bloc (LREB),No Significant Events
Homabay,2015,Production (MT),137958,Lake Region Economic Bloc (LREB),No Significant Events
Homabay,2015,Yield(MT/HA),1.64431466,Lake Region Economic Bloc (LREB),No Significant Events
Homabay,2016,Area (HA),61940,Lake Region Economic Bloc (LREB),Drought Year
Homabay,2016,Production (MT),71446,Lake Region Economic Bloc (LREB),Drought Year
Homabay,2016,Yield(MT/HA),1.153471101,Lake Region Economic Bloc (LREB),Drought Year
Homabay,2017,Area (HA),66115,Lake Region Economic Bloc (LREB),Post Election Political Tension
Homabay,2017,Production (MT),93405,Lake Region Economic Bloc (LREB),Post Election Political Tension
Homabay,2017,Yield(MT/HA),1.412765636,Lake Region Economic Bloc (LREB),Post Election Political Tension
Homabay,2018,Area (HA),69055,Lake Region Economic Bloc (LREB),No Significant Events
Homabay,2018,Production (MT),100741.38,Lake Region Economic Bloc (LREB),No Significant Events
Homabay,2018,Yield(MT/HA),1.458857143,Lake Region Economic Bloc (LREB),No Significant Events
Homabay,2020,Area (HA),72097,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Homabay,2020,Production (MT),92393.6,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Homabay,2020,Yield(MT/HA),1.281517955,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Isiolo,2012,Area (HA),987,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Isiolo,2012,Production (MT),979.2,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Isiolo,2012,Yield(MT/HA),0.992097264,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Isiolo,2013,Area (HA),1015,Frontier Counties Development Council (FCDC),Post Election Political Tension
Isiolo,2013,Production (MT),1072.8,Frontier Counties Development Council (FCDC),Post Election Political Tension
Isiolo,2013,Yield(MT/HA),1.056945813,Frontier Counties Development Council (FCDC),Post Election Political Tension
Isiolo,2014,Area (HA),1385,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Isiolo,2014,Production (MT),657,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Isiolo,2014,Yield(MT/HA),0.474368231,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Isiolo,2015,Area (HA),1017,Frontier Counties Development Council (FCDC),No Significant Events
Isiolo,2015,Production (MT),1231,Frontier Counties Development Council (FCDC),No Significant Events
Isiolo,2015,Yield(MT/HA),1.210422812,Frontier Counties Development Council (FCDC),No Significant Events
Isiolo,2016,Area (HA),708,Frontier Counties Development Council (FCDC),Drought Year
Isiolo,2016,Production (MT),475,Frontier Counties Development Council (FCDC),Drought Year
Isiolo,2016,Yield(MT/HA),0.670903955,Frontier Counties Development Council (FCDC),Drought Year
Isiolo,2017,Area (HA),568,Frontier Counties Development Council (FCDC),Post Election Political Tension
Isiolo,2017,Production (MT),444,Frontier Counties Development Council (FCDC),Post Election Political Tension
Isiolo,2017,Yield(MT/HA),0.781690141,Frontier Counties Development Council (FCDC),Post Election Political Tension
Isiolo,2018,Area (HA),358,Frontier Counties Development Council (FCDC),No Significant Events
Isiolo,2018,Production (MT),287.5,Frontier Counties Development Council (FCDC),No Significant Events
Isiolo,2018,Yield(MT/HA),0.803072626,Frontier Counties Development Council (FCDC),No Significant Events
Isiolo,2020,Area (HA),586.25,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Isiolo,2020,Production (MT),41.78,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Isiolo,2020,Yield(MT/HA),0.071266525,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Kajiado,2012,Area (HA),30145,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Kajiado,2012,Production (MT),2217.51,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Kajiado,2012,Yield(MT/HA),0.073561453,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Kajiado,2013,Area (HA),34721,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Kajiado,2013,Production (MT),63459.72,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Kajiado,2013,Yield(MT/HA),1.827704271,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Kajiado,2014,Area (HA),31020,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Kajiado,2014,Production (MT),73396,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Kajiado,2014,Yield(MT/HA),2.366086396,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Kajiado,2015,Area (HA),38055,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Kajiado,2015,Production (MT),20004,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Kajiado,2015,Yield(MT/HA),0.525660229,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Kajiado,2016,Area (HA),32682,Narok-Kajiado Economic Bloc (NAKAEB) ,Drought Year
Kajiado,2016,Production (MT),11016,Narok-Kajiado Economic Bloc (NAKAEB) ,Drought Year
Kajiado,2016,Yield(MT/HA),0.337066275,Narok-Kajiado Economic Bloc (NAKAEB) ,Drought Year
Kajiado,2017,Area (HA),15123,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Kajiado,2017,Production (MT),12751,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Kajiado,2017,Yield(MT/HA),0.843152814,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Kajiado,2018,Area (HA),16663,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Kajiado,2018,Production (MT),18698,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Kajiado,2018,Yield(MT/HA),1.122126868,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Kajiado,2020,Area (HA),17384,Narok-Kajiado Economic Bloc (NAKAEB) ,COVID-19 Pandemic
Kajiado,2020,Production (MT),15542.75,Narok-Kajiado Economic Bloc (NAKAEB) ,COVID-19 Pandemic
Kajiado,2020,Yield(MT/HA),0.89408364,Narok-Kajiado Economic Bloc (NAKAEB) ,COVID-19 Pandemic
Kakamega,2012,Area (HA),76285,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kakamega,2012,Production (MT),172308.15,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kakamega,2012,Yield(MT/HA),2.258742217,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kakamega,2013,Area (HA),73463,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kakamega,2013,Production (MT),172682.55,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kakamega,2013,Yield(MT/HA),2.350605747,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kakamega,2014,Area (HA),70993,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kakamega,2014,Production (MT),182397,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kakamega,2014,Yield(MT/HA),2.569225135,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kakamega,2015,Area (HA),78271,Lake Region Economic Bloc (LREB),No Significant Events
Kakamega,2015,Production (MT),224225,Lake Region Economic Bloc (LREB),No Significant Events
Kakamega,2015,Yield(MT/HA),2.864726399,Lake Region Economic Bloc (LREB),No Significant Events
Kakamega,2016,Area (HA),78344,Lake Region Economic Bloc (LREB),Drought Year
Kakamega,2016,Production (MT),172350,Lake Region Economic Bloc (LREB),Drought Year
Kakamega,2016,Yield(MT/HA),2.199913203,Lake Region Economic Bloc (LREB),Drought Year
Kakamega,2017,Area (HA),90572,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kakamega,2017,Production (MT),227237,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kakamega,2017,Yield(MT/HA),2.508910038,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kakamega,2018,Area (HA),95387,Lake Region Economic Bloc (LREB),No Significant Events
